fn,ln,misc1,misc2,misc3,misc4,misc5,misc6
Glogau, Josef, geb. in Polen, gest. 1814 in Hechingen, Hohenzollern. [BHR1],,,
Glogau, Löb, bürgerlich Juda Schlesinger, geb. 6. Jan. 1789 in Prag, gest. 17. Juni 1856 das. [BHR1],,,
Glogau, Maier, bürgerlich Markus Schlesinger, geb. 1770 in Prag, gest. 24. Aug. 1829 das. [BHR1],,,
Glogau, Michl, geb. ca. 1740 in Glogau, gest. 14. Nov. 1818 in Eisenstadt. [BHR1],,,,
Glogau, Moses, geb. in Eisenstadt, gest. 15. Okt. 1834 in Deutschkreuz, Burgenland. [BHR1],,,
Glück, Jacob Akiba, Dr., geb. 8. Nov. 1838 in Pleszew (Pleschen), Prov. Posen, gest. nach 1904. [BHR1],,
Glück, Löb (hebr. Juda-L.), geb. ca. 1740, gest. 15. Mai 1809 in Břeclav (Lundenburg), Mähren. [BHR1],,,
Glückmann, David, gen. D. Kalischer, gest. 2. Juli 1851 in Pleszew (Pleschen), Prov. Posen. [BHR1],,,
Goldberg, Jakob Moses, geb. in Kletsk, Weißrußland, gest. nach 1861. [BHR1],,,
Goldberg, Menachem. [BHR1],,,,,,
Goldmann, Benedikt, geb. in Kirchheimbolanden, Bayer. Rheinpfalz. [BHR1],,,,
Goldmann, Eisik Gerson, gest. 21. Mai 1831 in Leszno (Lissa), Prov. Posen. [BHR1],,,,
Goldmann, Isak. [BHR1],,,,,,
Goldmann, Moses-Moritz, geb. ca. 1804 in Turnov (Turnau), Böhmen. [BHR1],,,,
Goldmann, Philipp, auch Feivel G., geb. 1808 in Wanfried a. d. Werra, Kurhessen, gest. 1894 in Eschwege. [BHR1],,
Goldscheider, Salomon, geb. 1750, gest. 1842 in Spálené Poříčí (Brennporitschen) bei Pilsen, Böhmen. [BHR1],,,
Goldscheider, Samuel, geb. 1786. [BHR1],,,,,
Goldschmidt, Abraham Meyer, Dr., geb. 2. Apr. 1812 in Krotoszyn (Krotoschin), Großpolen, gest. 5. Feb. 1889 in Leipzig. [BHR1],,
Goldschmidt, Isaak Fischel. [BHR1],,,,,,
Goldschmidt, Israel, geb. ca. 1788. [BHR1],,,,,
Goldschmidt, Löbel(hebr. Juda-L.), geb. ca. 1751, gest. 28. Mai 1832 in Krotoszyn (Krotoschin), Prov. Posen. [BHR1],,,
Goldschmidt, Pessach, geb. Neujahr 5559/1798 in Altona, gest. 26. April 1874 das. [BHR1],,,,
Goldschmidt, Salomon, geb. 1817 in Kobylin, Prov. Posen, gest. 3. Feb. 1897 in Berlin. [BHR1],,,
Goldschmidt, Salomon, Dr., geb. 22. Juni 1837 in Śrem (Schrimm), Prov. Posen, gest. 1927 in Kołobrzeg (Kolberg), Pommern. [BHR1],
Goldschmidt, Wolf, geb. in Hildesheim, gest. 27. April 1831 in Altona. [BHR1],,,,
Goldschmied, Esriel-Israel, gest. Ende 1858 in Rychnov nad Kněžnou (Reichenau), Böhmen. [BHR1],,,,
Goldstaub, Elieser-Lipmann, gest. 3. März 1881 in Leszno (Lissa), Prov. Posen. [BHR1],,,,
Goldstein, Moritz, Dr., geb. 1. Mai 1821 in Kamienna (Giesdorf) bei Namysłów (Namslau), Oberschlesien, gest. 17. Mai 1853 in Posen. [BHR1],,
Gosen, Moses, geb. 1780 in Kirchhain b. Marburg, gest. 22. März 1862 in Marburg. [BHR1],,,,
Gottheil, Gustav, Dr., geb. 28. Mai 1827 in Pniewy (Pinne), Prov. Posen, gest. 15. April 1903 in New York. [BHR1],,
Gottheimer, J. [BHR1],,,,,,
Gotthelf, Nochem Jakob, gest. 1852 in Jarocin (Jarotschin), Prov. Posen. [BHR1],,,,
Göttingen, Hirsch (hebr. Naftali-H.), geb. 1743 in Göttingen, gest. 1837 in Halberstadt. [BHR1],,,,
Gottlieb-Joez b. Mosche, geb. 14. Juli 1815 in Bergedorf bei Hamburg, gest. 16. Febr. 1873 in Hamburg. [BHR1],,,,,
Gottstein, Marcus, Dr., geb. 3. Mai 1821 in Jaraczewo, Prov. Posen, gest. 26. Nov. 1887 in Celle. [BHR1],,
Goudechaux, Seligmann, deutsch S. Gottschallig, geb. 24. Okt. 1770 in Niedernai (Niederehnheim), Unterelsaß, gest. 29. Juni 1849 in Colmar. [BHR1],,
Gradenwitz, Menachem-Mendel, geb. in Kurów, Polen, gest. 1792 in Rawicz. [BHR1],,,
Gradenwitz, Raphael. [BHR1],,,,,,
Gräditz, Jakob, geb. in Grodzisk (Grätz), gest. 11. Jan. 1822 in Piła (Schneidemühl), Prov. Posen. [BHR1],,,
Graf, Salomon. [BHR1],,,,,,
Greiff, Joseph-Jaßmann, geb. 1748 in Polen, gest. 27. Jan 1827 in Wandsbek, Holstein. [BHR1],,,
Greiffenhagen, Gerson. [BHR1],,,,,,
Greiffenhagen, Moses J. [BHR1],,,,,,
Greilsheimer, Joel Nathan. [BHR1],,,,,,
Grieger, Aron,geb. ca. 1819 in Lipník (Leipnik), Mähren. [BHR1],,,,
Gross, Heinrich, Dr., geb. 16. Nov. 1835 in Senica (Szenitz), Slowakei, gest. 31. Jan. 1910 in Augsburg. [BHR1],,
Gross, M. [BHR1],,,,,,
Grossmann, Ignaz, geb. 30. Juli 1825 in Trenčín (Trentschin), Slowakei, gest. 18. März 1897 in New York. [BHR1],,,
Grossmann, N. [BHR1],,,,,,
Grün, Aron Jakob Halevi. [BHR1],,,,,,
Grünbaum, Aron Bär, geb. 15. Okt. 1812 in Gunzenhausen, gest. 9. Dez. 1893 in Ansbach. [BHR1],,,,
Grünebaum, Elias, geb. 10. Sept. 1807 in Reipoltskirchen bei Kusel, Pfalz, gest. 25. Sept. 1893 in Landau. [BHR1],,,
Grünfeld, Abraham, geb. 1800 in Kolín, Zentralböhmen, gest. nach 1877 vermutlich in Jičín (Gitschin), Nordböhmen. [BHR1],,
Grünhut, Thomas. [BHR1],,,,,,
Grünwald, Jakob. [BHR1],,,,,,
Grünwald, Seligmann, geb. 23. Juli 1800 in Mühringen, Württ., gest. 12. Mai 1856 in Freudental. [BHR1],,,
Güdemann, Moritz, Dr., geb. 19. Feb. 1835 in Hildesheim, gest. 5. Aug. 1918 in Baden bei Wien. [BHR1],,,
Gugenheimer, Aaron, geb. ca. 1793 in Dittenheim, Mittelfranken, gest. 1872 in Úsov (Mährisch-Aussee) in Mähren. [BHR1],,,
Gugenheimer, Joseph, gest. zw. 1828 und 1831 in Dittenheim, Mittelfranken. [BHR1],,,,
Guggenheimer, Joseph, Dr., geb. 29. April 1831 in Kriegshaber b. Augsburg, gest. 11. Febr. 1896 in Kolín, Böhmen. [BHR1],,
Güldenstein, Michael, Dr., geb. 26. Sept. 1814 in Sontheim bei Heilbronn, Württ., gest. 30. März 1861 in Bad Buchau am Federsee. [BHR1],,
Gumpertz, Abraham, auch A. Gompertz oder Gumbertz, gest. 1785 in Edenkoben, Pfalz. [BHR1],,,
Gundelfinger, Naftali. [BHR1],,,,,,
Gundersheim, Hayum, gest. 22. Mai 1795 in Frankfurt/M. [BHR1],,,,,
Gundersheim, Senior Süßkind Löb, geb. ca. 1730 in Frankfurt/M., gest. 10. Okt. 1802 das. [BHR1],,,,
Günsberg, Raphael Seew. [BHR1],,,,,,
Günsburger, David. [BHR1],,,,,,
Günsburger, Joseph-Josle, geb. 1757 im Elsaß, gest. 21. Okt. 1842 in Schmieheim bei Offenburg, Baden. [BHR1],,,
Günzburg, Aaron, englisch A. Guinzburg, geb. 1808 in Prag, gest. nach 1868 in den USA. [BHR1],,,
Günzburg, David, geb. im Elsaß, gest. 1841 in Ihringen bei Breisach. [BHR1],,,,
Günzburg, Jakob, geb. 1743 in Prag, gest. 25. Sept. 1815 das. [BHR1],,,,
Gunzenhausen, Isak. [BHR1],,,,,,
Gunzenhausen, Isak Hirsch, gen. Hirsch Fürth, geb. in Fürth, gest. Sept. 1881 in Binswangen, Bayer.-Schwaben. [BHR1],,
Gunzenhauser, Samson, geb. 21. März 1830 in Binswangen, Bayer. Schwaben, gest. 1893 in Bad Mergentheim, Württ. [BHR1],,
Gutheim, Jakob-Koppel, englisch James K. G., geb. 1817 in Menne bei Warburg in Westfalen, gest. 1886 in New Orleans, USA. [BHR1],,
Gutmann, Moses, geb. 15. Juni 1805 in Baiersdorf b. Erlangen, gest. 1. Feb. 1862 in Redwitz a. d. Rodach, Oberfranken. [BHR1],,,
Guttmacher, Elias," ""der Grätzer Raw""", geb. 15. Aug. 1796 in Borek, Prov. Südpreußen, gest. 5. Okt. 1874 in Grodzisk (Grätz), Prov. Posen. [BHR1],
Guttmacher, Hirsch (hebr. Zwi-H.), geb. 1. Juli 1818, gest. 18. Nov. 1870 in Pleszew (Pleschen). [BHR1],,,,
Gutwirth. [BHR1],,,,,,,
Haas, David Hirsch, Dr., geb. 5. Dez. 1834 in Fuchsstadt, Unterfranken, gest. 2. Juni 1878 in Uffenheim. [BHR1],,
Haas, Ephraim, geb. 28. Juni 1800 in Hottenbach bei Bernkastel an der Mosel, gest. 2. Jan. 1834 in Lauterbourg (Lauterburg), Unterelsaß. [BHR1],,,
Haas, Moses, Dr., geb. 2. Mai 1811 in Mardorf bei Marburg, gest. 26. Juni 1887 in Freudental, Württ. [BHR1],,
Haas, Salomon, geb. in Holešov (Holleschau), Mähren, gest. 27. Juni 1847 in Strážnice (Straßnitz). [BHR1],,,
Hahn, Adolf, Dr., geb. ca. 1844. [BHR1],,,,
Hahn, Abraham-Joseph, gest. 19. März 1803 in Altona. [BHR1],,,,,
Hahn, Löbesch, gest. 27. Juni 1847 in Tovačov (Tobitschau), Mähren. [BHR1],,,,
Hahn, Salomon, Dr., geb. 20. Okt. 1828 in Żory (Sohrau), Oberschlesien, gest. 1898 oder später. [BHR1],,
Hahn, Samuel, geb. 18. Dez. 1836 in Mikulov (Nikolsburg), gest. 2. Nov. 1917 in Wien. [BHR1],,,,
Hainsfurth, Simon, geb. in Drmoul (Dürrmaul) in Westböhmen. [BHR1],,,,,
Hajum, Koppel, gest. 1816. [BHR1],,,,,
Halberstädter, Juda-Löb,geb. 1777, gest. 14. April 1831 in Fürth. [BHR1],,,,
Haller, Jacob, geb. ca. 1812 in Golčův Jeníkov (Goltsch-Jenikau), Ostböhmen, gest. 3. Nov. 1890 in Prag. [BHR1],,,
Haller, Markus Meier, geb. in Golčův Jeníkov (Goltsch-Jenikau), Ostböhmen. [BHR1],,,,
Hamburg, Lase, geb. 1780 in Mannheim, gest. 1821 das. - Sohn des Mannheimer Klausrb. Juda Jakob Insbruck [BHR1], studierte fünfzehn Jahre lang an der Frankfurter Jeschiwa, 1803 Klausrb. in Mannheim. LIT. Löwenstein, Kurpfalz, S. 228.- Unna
Hamburger, Hermann, Dr., später auch Hersch H., geb. ca. 1810 in Prag, gest. 12. Juli 1870 in Emden. [BHR1],,
Hamburger, Jacob, Dr., geb. 10. Nov. 1826 in Wodzisław Śląski (Loslau), Oberschles., gest. 10. Nov. 1911 in Neustrelitz, Mecklenburg. [BHR1],
Hamburger, Jakob. [BHR1],,,,,,
Hamburger, Wolf, hebr. Abraham-Benjamin Hamburg, im Anagramm ’ŌHeV, geb. 24. Jan. 1770 in Fürth, gest. 15. Mai 1850 ebd. [BHR1],,
Handl, Hermann, Dr., geb. 1839 in Mikulov (Nikolsburg), Mähren, gest. 1925 in Ivančice (Eibenschütz). [BHR1],,
Handl, Isak Tonelis, geb. 1807 in Mähren, gest. 11. Nov. 1887. [BHR1],,,,
Hanover, David, Dr., geb. 29. Aug. 1835 in Schmieheim bei Offenburg, Baden, gest. 10. Jan. 1901 in Wandsbek bei Hamburg, Schleswig-Holstein. [BHR1],
Hanover, Joseph," gen. ""Sagi Nohaur"" [der Blinde]", gest. 1845 in Hamburg. [BHR1],,,,
Harburger, Jehuda, geb. 16. Jan. 1809 in Bayreuth. [BHR1],,,,,
Hartmann, Daniel. [BHR1],,,,,,
Hartmann, Salomon. [BHR1],,,,,,
Hatzfeld, Moses Löb, geb. ca. 1735 in Heidingsfeld b. Würzburg, gest. 17. Aug. 1810 das. [BHR1],,,,
Hauser, Pinkas. [BHR1],,,,,,
Hechheimer, Moses, geb. 1755 in Veitshöchheim bei Würzburg, gest. 10. Febr. 1835 in Ansbach. [BHR1],,,,
Heckscher, Julius Wolf, Dr., geb. 1836 in Kopenhagen, gest. 31. Dez. 1883 in Racibórz (Ratibor), Oberschlesien. [BHR1],,
Heidegger, Isaias, geb. 14. März 1797 in Thalmässing, Mittelfranken, gest. 24. Dez. 1867 in Fürth. [BHR1],,,
Heidenheim, Philipp, Dr., geb. 14. Juni 1814 in Bleicherode bei Erfurt, gest. 14. Juni 1906 in Sondershausen. [BHR1],,,
Heilbronn, Isaak, geb. 1752 in Immenrode, Fsm. Schwarzburg- Rudolstadt, gest. 27. Sept. 1822 in Magdeburg. [BHR1],,,
Heilbronn, Isak, Dr., geb. 25. Feb. 1828 in Fulda, gest. 1909 in Nürnberg. [BHR1],,,
Heilbronn, Joel, auch J. Heilprin, geb. 1750. [BHR1],,,,
Heilbut, Arnold-Aaron, Dr., geb. 30. Juli 1816 in Altona, gest. 1860 in Wiesbaden. [BHR1],,,
Heilbuth, Ephraim Moses, gest. vermutlich 1789 in Königsberg. [BHR1],,,,,
Heilbuth, Moses, gest. 15. Tevet 1783 in Hamburg. Rb. an der Alten Klaus in Hamburg  [BHR1], zeitweise auch Dajan und Vorsteher der Begräbnis- und Spitalsbruderschaften. LIT. Duckesz, achmē ’AHŪ, Nr. 66, hebr. S. 82, dt. S. 28
Heimerdinger, Marx. [BHR1],,,,,,
Hein, David, geb. in Osoblaha (Hotzenplotz), Österr.-Schlesien, gest. 1886 das. [BHR1],,,
Heinemann, Carl, Dr., geb. 1802 in Sandersleben, Anhalt, gest. 1868 in Göteborg, Schweden. [BHR1],
Heins, Löwy. [BHR1],,,,,,
Heldenstein, Isak. [BHR1],,,,,,
Heldenstein, S. [BHR1],,,,,,
Heller, Abraham, gest. 30. Aug. 1794 in Mannheim. [BHR1],,,,,
Henlein, Juda Manasse, geb. ca. 1812 in Lehrensteinsfeld, Württ. [BHR1],,,,
Henschel, Arjeh-Löbusch, geb. 1806 in Kępno (Kempen), Prov. Südpreußen, gest. 28. Jan. 1837 in Breslau. [BHR1],,,
Herrisch, David, geb. 2. Juli 1821 in Lednice (Eisgrub), Mähren, gest. 30. Juli 1895 das. [BHR1],,,
Herschel, Saul, geb. 1799 in Prenzlau, gest. 1832 in London. [BHR1],,,,
Herschell, Salomon, geb. 1761 in London, gest. 31. Okt. 1842 das. [BHR1],,,,
Herxheimer, Salomon, Dr., geb. 6. Feb. 1801 in Dotzheim bei Wiesbaden, gest. 25. Dez. 1884 in Bernburg a. d. Saale. [BHR1],,,
Herz, Isai, geb. in Bayern, gest. 16. März 1798 in Jebenhausen bei Göppingen. [BHR1],,,,
Herz, Israel. [BHR1],,,,,,
Herz, Max, geb. 24. Nov. 1815 in Kochendorf, Württ., gest. 2. Aug. 1904 in Göppingen. [BHR1],,,
Herzberg, Mentheim. [BHR1],,,,,,
Herzfeld, Salomo Dov-Berusch, auch S. D. B. Biale, geb. ca. 1710 in Polen, gest. 22. Juni 1784 in Glogau. [BHR1],,,
Herzfeld, Hartwig, niederländisch Hartoch Hertzveld, hebr. Naftali-Zwi-Hirsch, geb. 19. Nov. 1781 in Glogau, gest. 2. Feb. 1846 in Zwolle, Niederlande. [BHR1],
Herzfeld, Israel. [BHR1],,,,,,
Herzfeld, Josua, hebr. Aron-Josua-Elias b. Beer, geb. 1758 vermutlich in Lokachi (Lukacz), Wolhynien, gest. 25. Aug. 1846 in Rawicz, Prov. Posen. [BHR1],
Herzfeld, Levi, Prof. Dr., geb. 28. Dez. 1810 in Ellrich am Harz, gest. 11. März 1884 in Braunschweig. [BHR1],,,
Herzfeld, Moses, geb. in Heidingsfeld b. Würzburg, gest. 15. Sept. 1796 in Mannheim. [BHR1],,,,
Herzfeld, Salomon, auch S. Hirschfeld, gest. 1813 in Rawicz (Rawitsch). [BHR1],,,,
Herzfeld, Samuel, gest. 1857 in Pobiedziska (Pudewitz), Prov. Posen. [BHR1],,,,
Herzthal, Salomon, auch S. Herzfeld, gest. 1841 in Mannheim. [BHR1],,,,
Hess, Isaak, auch I. Kugelmann, geb. 12. Feb. 1762 in Fürth, gest. 9. Aug. 1827 in Stadtlengsfeld, Sachsen-Weimar. [BHR1],,
Hess, Josef-Moses, auch J. Kugelmann, geb. in Meimbressen, Hessen, gest. 2. Nov. 1793 in Kassel. [BHR1],,
Hess, Löb Mayer, geb. 1748, gest. 9. Jan. 1826 in Gießen. [BHR1],,,,
Hess, Meier, gest. 1846 in Hamburg. [BHR1],,,,,
Hess, Mendel, Dr., geb. 17. März 1807 in Stadtlengsfeld, Thüringen, gest. 21. Sept. 1871 in Eisenach. [BHR1],,
Hessel, Ezechiel, ursprünglich Samuel H., geb. 1754 in Sulzbürg, gest. 21. Sept. 1824 in München. [BHR1],,,
Heymann, Lewin, geb. 1747 in Barby b. Magdeburg, gest. 29. Nov. 1810 in Breslau. [BHR1],,,,
Heymann, S. [BHR1],,,,,,
Hilb, Maier, geb. 24. Nov. 1807 in Haigerloch, Hohenzollern- Sigmaringen, gest. 16. Juni 1880 das. [BHR1],,,
Hildesheimer, Esriel, Dr., gen. meist Israel H., geb. 20. Mai 1820 in Halberstadt, gest. 12. Juli 1899 in Berlin. [BHR1],,
Hildesheimer, Mordechai Moses Gumpel, gest. 10. Jan. 1823 in Hamburg. [BHR1],,,,,
Hiller, Hirsch, geb. ca. 1747, gest. 2. Juni 1817 in Harburg, Bay.- Schwaben. [BHR1],,,
Hiller, Mayer Lämlein. [BHR1],,,,,,
Hindeles, Abraham, geb. 1788, gest 7. Juni 1860 in Prag. [BHR1],,,,
Hirsch, Abraham, gen. A. Halberstadt. [BHR1],,,,,
Hirsch, Heimann, geb. 1800. [BHR1],,,,,
Hirsch, Jakob, um 1864 Bethaus-Rb. in Sechshaus bei Wien [BHR1], das durch Verordnung vom 29. Mai 1876 zum dritten der fünf niederösterreichischen Rabbinatssprengel erhoben wird. PUBL. Ma‘aśeh ’Āvōth, Religionslehre, Wien 1869, 72 S.- ‘Aleh zayīth [Gen. 8,11] hebr. Gedenkrede auf Jonas v. Königswarter
Hirsch, Joseph, geb. in Bruchholt [Bruchhausen?] bei Paderborn, gest. 19. Juli 1850 in Bad Kreuznach. [BHR1],,,,
Hirsch, Josef Pinchas, gen. J. P. Halberstadt, gest. 11. Okt. 1829 in Ivančice (Eibenschütz), Mähren. [BHR1],,,
Hirsch, Lazarus, geb. 10. Mai 1815 in Bad Kreuznach. [BHR1],,,,,
Hirsch, Levi. [BHR1],,,,,,
Hirsch, Mayer Samuel, Dr., geb. 12. Okt. 1812 in Bad Mergentheim, Württ., gest. 30. Aug. 1860 in Braunsbach. [BHR1],,
Hirsch, Moses, geb. in Polen, gest. 1804 in Detmold. [BHR1],,,,
Hirsch, Moses, geb. ca. 1771, gest. 8. Apr. 1825 in Písečné (Piesling), Mähren. [BHR1],,,
Hirsch, Pinkus. [BHR1],,,,,,
Hirsch, Samson Raphael, geb. 20. Juni 1808 in Hamburg, gest. 31. Dez. 1888 in Frankfurt. [BHR1],,,,
Hirsch, Samuel, Dr., geb. 8. Juni 1815 in Thalfang, Reg.-Bez. Trier, Kreis Bernkastel, gest. 14. Mai 1889 in Chicago. [BHR1],
Hirschfeld, Aron, Dr., geb. 1820 in Tczew (Dirschau), Prov. Westpreußen, gest. 14. Dez. 1885 in Posen. [BHR1],,
Hirschfeld, Hirsch, Dr., geb. Aug. 1811 in Inowrocław (Inowrazlaw) im früheren Netzedistrikt, gest. 12. Juni 1884 in Berlin-Charlottenburg. [BHR1],,,
Hirschfeld, Jakob Heinrich, Dr., geb. 20. Jan. 1819 in Šaštín (Schossberg), Slowakei, gest. 6. Okt. 1902 in Wien. [BHR1],,
Hirschfeld, Moritz, Dr., geb. 2. April 1823 in Šaštín (Schossberg), Slowakei, gest. 13. April 1913 in Wien. [BHR1],,
Hirschler, Samuel. [BHR1],,,,,,
Hirschstein, Hirsch. [BHR1],,,,,,
Hochheimer, Heinrich, Dr., englisch Henry H., geb. 3. Okt. 1818 in Ansbach, gest. 25. Jan. 1912 in Baltimore, USA. [BHR1],
Höchheimer, Isaak, geb. 9. Sept. 1790 in Fürth, gest. 1861 in Ichenhausen, Bayer. Schwaben. [BHR1],,,
Höchstätter, Benjamin, Dr., geb. 6. Jan. 1811 in Binswangen, Bay.- Schwaben, gest. 8. Dez. 1888 in Frankfurt/M. [BHR1],,
Hoff, Emil, Dr, gest. 21. Febr. 1897 in Prostějov (Proßnitz), Mähren. [BHR1],,,
Hoffmann, Moses David, geb. 1824 in Nové Mesto nad Váhom (Waag-Neustadtl), Slowakei, gest. 1889 in Uherský Brod (Ungarisch-Brod), Mähren. [BHR1],,
Hofmann, Joseph, geb. 29. Jan. 1806 in Walldorf, Sachsen-Meiningen, gest. 16. Nov. 1845 ebd. [BHR1],,,
Holdheim, Samuel, Dr., geb. 1806 in Kępno (Kempen), Prov. Südpreußen, gest. 22. Aug. 1860 in Berlin. [BHR1],,
Hollander, Jakob, Dr., geb. 25. März 1844 in Altona, gest. 8. Dez. 1880 in Trier. [BHR1],,,
Hollander, Jesaja, geb. Purim 1806 in Altona, gest. 25. Dez. 1872 das. [BHR1],,,,
Holleschauer, Joseph David, geb. 1785 in Leszno (Lissa), gest. 1860 in Ostrów Wielkopolski (Ostrowo), Prov. Posen. [BHR1],,,
Holzmann, Nathan, gest. 1884 in Ostrów Wielkopolski (Ostrowo), Prov. Posen. [BHR1],,,,
Hönig, Enoch. [BHR1],,,,,,
Horochow, David-Tewle, geb. in Brody, Ostgalizien, gest. 11. Jan. 1792 in Leszno (Lissa), Großpolen. [BHR1],,
Horochow, Secharja-Mendel, genannt S. M. Lissa, bürgerlich Mendel David Fabel, gest. 21. April 1809 in Inowrocław (Inowrazlaw) im vormal. Netzedistrikt. [BHR1],,,
Horochow,Moses. [BHR1],,,,,,
Horochow,Secharja-Mendel, gest. 30. Tammus 1867 in Inowrocław (Inowrazlaw), Prov. Posen. [BHR1],,,,
Horowitz, Jakob, Dr., geb. 25. März 1837 in Krakau, gest. 1907 in Düsseldorf. [BHR1],,,
Horwitz, David Höschel, hebr. David-Jehoschua b. Zwi, gest. 12. Nov. 1825 in Frauenkirchen, Burgenland. [BHR1],,,
Horwitz, Hirsch (hebr. Zwi-H.), gen. Maaneh Lewī, geb. 1754 in Polen, gest. 8. Sept. 1817 in Bockenheim b. Frankfurt/M. [BHR1],,,
Horwitz, Jakob Halevi. [BHR1],,,,,,
Horwitz, Lasar, geb. 14. Jan. 1804 in Floß, Oberpfalz, gest. 11. Juni 1868 in Bad Vöslau, Niederösterreich. [BHR1],,
Horwitz, Pinchas, gen. Hā-Haflā’āh, geb. 1731 in Chortkiv (Czortków), Ostgalizien, gest. 1. Juli 1805 in Frankfurt/M. [BHR1],,
Horwitz, Salomon-Schalom, gest. 17. Juni 1866 in Tuchola (Tuchel), Prov. Westpreußen. [BHR1],,,,
Horwitz, Zwi Josua, geb. ca. 1735 in Mikulov (Nikolsburg), Mähren, gest. 16. Nov. 1816 in Prostějov (Proßnitz). [BHR1],,,
Hübsch, Adolf, Dr., geb. 18. Sept. 1830 in Liptovský Mikuláš (Liptau- St.-Nikolaus), Slowakei, gest. 10. Okt. 1884 in New York. [BHR1],,
Hulisch, Marcus. [BHR1],,,,,,
Hurwitz, Jakob Meschullam Veit, geb. in Steinhart im Ries, gest. 1820 in Treuchtlingen, Mittelfranken. [BHR1],,,
Hurwitz, Leiser, geb. in Biała (Zülz), Oberschlesien, gest. 16. Mai 1814 in Berlin. [BHR1],,,
Ickstädter, Samuel, geb. 1806 in Igstadt, Nassau, gest. 4. Sept. 1863 in Hamburg. [BHR1],,,
Idlinger, Samuel. [BHR1],,,,,,
Illowy, Bernhard, Dr., englisch Bernard Illoway, geb. 1814 in Kolín [BHR1], Zentralböhmen, gest. 21. Juni 1871 in Foster's Crossing, Ohio
Illowy, Jakob, gest. 6. April 1781 in Kolín, Böhmen. [BHR1],,,,
Insbruck, Juda, gest. 15. März 1794 in Mannheim. [BHR1],,,,,
Isaacsohn, Josef, Dr., geb. 1811 in Wieleń (Filehne) in der späteren Prov. Posen, gest. 11. Mai 1885 in Hamburg. [BHR1],,,
Isaak b. Gerson, geb. in Lissa, gest. 4. April 1816 in Inowrocław (Inowrazlaw), Prov. Posen. [BHR1],,,,
Isaak b. Josef. [BHR1],,,,,,,
Isaak, Joachem-Chaim. [BHR1],,,,,,
Iserls, Abraham Hirsch (hebr. Abraham Zwi-H.), bürgerlich A. H. Glasser, gest. 9. Juli 1833 in Moravský Krumlov (Kromau), Mähren. [BHR1],,,
Israel Moses b. Arje-Löb, geb. in Leszno (Lissa), gest. 13. Jan. 1814 in Kórnik (Kurnik) in der spät. Prov. Posen. [BHR1],,,,,
Israel, Benjamin, nennt sich meist Ben Israël, geb. 1819 in Dierdorf, gest. 6. Nov. 1876 in Koblenz. [BHR1],,,
Israeli, J. [BHR1],,,,,,
Istl, Elia Zwi, gest. Okt. 1788 in Slavkov (Austerlitz), Mähren. [BHR1],,,,
Jacob, Heinemann. [BHR1],,,,,,
Jacobi, Hosea, Dr., geb. 3. Jan. 1842 in Dobrzany (Jakobshagen) bei Stettin, gest. 1925 in Zagreb, Kroatien. [BHR1],,
Jacobsohn, Jakob Hirsch, Dr., geb. 1810, gest. 10. Jan. 1885 in Dresden. [BHR1],,,
Jacobsohn, Joseph, gest. 22. Jan. 1864 in Miłosław, Prov. Posen. [BHR1],,,,
Jacobson, Israel, Dr. h. c., geb. 17. Okt. 1768 in Halberstadt, gest. 13./14. Sept. 1828 in Berlin. [BHR1],,,
Jacoby, David, gest. 30. Dez. 1858 in Inowrocław (Inowrazlaw), Prov. Posen. [BHR1],,,,
Jadesohn, Samuel, gest. 1858 in Krajenka (Krojanke), Prov. Westpreußen. [BHR1],,,,
Jaffé, Beer Aron, geb. ca. 1800, gest. 3. Okt. 1851 in Prag. [BHR1],,,,
Jaffé, Esaias. [BHR1],,,,,,
Jaffé, Heimann, Dr., geb. 9. Juni 1826 in Rawicz, Prov. Posen, gest. 1883. [BHR1],,
Jaffé, Hirsch, Dr., geb. 6. April 1818 in Trzcianka (Schönlanke), Prov. Posen, gest. 18. Mai 1898 in Mysłowice (Myslowitz), Oberschlesien. [BHR1],
Jaffé, Jakob. [BHR1],,,,,,
Jaffé, Jakob Moses, geb. 1739 in Berlin, gest. 21. Jan. 1823 in Hamburg. [BHR1],,,,
Jaffé, Mordechai Michael, geb. 6. Sept. 1803 in Krotoszyn (Krotoschin), Prov. Südpreußen, gest. 27. Apr. 1868 in Hamburg. [BHR1],,,
Jakob Uri-Schraga-Feiwel, gest. ca. 1783 in Złotów (Flatow), Netzedistrikt. [BHR1],,,,,
Jakob, Moses, gest. 1824 in Bad Kissingen. [BHR1],,,,,
Janow, Josef Hirsch(hebr. Zwi-H.), gen. Hä-ārīf, geb. 1733 in Leszno (Lissa), Großpolen, gest. 13. Nov. 1785 in Fürth. [BHR1],,
Jaraczewski, Mayer, gest. in Borek, Prov. Posen. [BHR1],,,,
Jaraczewsky, Adolph, Dr., geb. 29. April 1829 in Borek, Prov. Posen, gest. 25. Juni 1911 in Mühringen bei Horb, Württemberg. [BHR1],
Jaroslaw, Josef. [BHR1],,,,,,
Jaskulski, Baruch. [BHR1],,,,,,
Jastrow, Markus, Dr., geb. 5. Juni 1829 in Rogoźno (Rogasen), Prov. Posen, gest. 13. Okt. 1903 in Germantown, Penn. [BHR1],
Jechiel b. Pesach. [BHR1],,,,,,,
Jeitteles, Benedikt, geb. 22. Apr. 1762 in Prag, gest. 17. Dez. 1813 das. [BHR1],,,,
