fn,ln,misc1,misc2,misc3,misc4,misc5,misc6
Asch, Juda," gen. ""Juda Hechoßid""", gest. 5. Feb. 1831 in Szamotuły (Samter), Prov. Posen. [BHR1],,,
Asch, Koppel, gest. 13. März 1853 in Hannover. [BHR1],,,,,
Asch, Lazarus. [BHR1],,,,,,
Asche, Gerson Zippert, geb. ca. 1791 in Sępólno Krajeńskie (Zempelburg), Netzedistrikt, gest. nach 1853 vermutlich in Berlin. [BHR1],,,
Asche, Tobias, geb. ca. 1768 in Człuchów (Schlochau) in der späteren Prov. Westpreußen, gest. 1. Dez. 1827 in Krotoszyn (Krotoschin), Prov. Posen. [BHR1],,,
Ascher, Abraham, geb. 1794 in Wallerstein, gest. 5. Nov. 1837 in Bühl, Baden. [BHR1],,,
Ascher, Enoch, Dr., auch E. A. Braun, geb. in Strážov (Drosau), Westböhmen. [BHR1],,
Ascher, Moses, geb. 1773 in Nové Sedliště (Neusedlisch), Westböhmen, gest. 14. Jan. 1848 in Krásná Lípa (Schönlinde), Nordböhmen. [BHR1],,
Aschkenasi, Elchanan, geb. 1713 in Polen, gest. 27. Sept. 1780 in Stare Szkoty (Altschottland) bei Danzig. [BHR1],,,,
Aschkenasi, Itzig, gest. 1814 in Danzig. [BHR1],,,,,
Aub, Hirsch, geb. 10. Jan. 1796 in Baiersdorf b. Erlangen, gest. 2. Juni 1875 in Nürnberg. [BHR1],,,,
Aub, Joseph, Dr., geb. 4. Dez. 1804 in Baiersdorf b. Erlangen, gest. 22. Mai 1880 in Berlin. [BHR1],,,
Auerbach, Abraham, geb. 1763 in Bouxwiller (Buchsweiler), Unterelsaß, gest. 3. Nov. 1845 in Bonn. [BHR1],,,
Auerbach, Aron, Dr., geb. 27. Feb. 1810 in Neuwied, gest. 2. Dez. 1886 in Bonn. [BHR1],,,
Auerbach, Benjamin-Hirsch, Dr., gen. Naal ’Äškōl, geb. 1808 in Neuwied, gest. 30. Sept. 1872 in Halberstadt. [BHR1],,
Auerbach, Chaim, bürgerlich Joachim Isaak A., geb. ca. 1755 in Leszno (Lissa), Großpolen, gest. 1840 in Łęczyca (Luntschütz), Russ.-Großpolen. [BHR1],
Auerbach, Elieser. [BHR1],,,,,,
Auerbach, Hirsch (hebr. Zwi-H.), geb. in Leszno (Lissa), Prov. Posen. [BHR1],,,,
Auerbach, Jakob, gest. 1860 in Jarocin (Jarotschin), Prov. Posen. [BHR1],,,,
Auerbach, Jechiel Joel, gest. 9. Aug. 1834 in Leszno (Lissa), Prov. Posen. [BHR1],,,,
Auerbach, Lazarus M. [BHR1],,,,,,
Auerbach, Léon, geb. 4. Juli 1813 in Bonn, gest. 22. April 1887 in Izmir, Türkei. [BHR1],,,
Auerbach, Lewin Isaak, gen. Löb Lisser, geb. in Leszno (Lissa), gest. 4. Mai 1823 in Inowrocław (Inowrazlaw), Prov. Posen. [BHR1],,
Auerbach, Menachem-Mannheim, geb. 1773 in Leszno (Lissa), gest. 19. März 1849 in Ostrów Wielkopolski (Ostrowo), Prov. Posen. [BHR1],,,
Auerbach, Moses, gest. 28. Cheschwan 1821 in Leszno (Lissa), Prov. Posen. [BHR1],,,,
Auerbach, Samuel, Dr., geb. 10. Sept. 1827 in Bonn, gest. 24. Okt. 1884 in Frankfurt/M. [BHR1],,,
Auerbach, Zacharias, Dr., geb. 3. Dez. 1844 in Bonn, gest. 30. Okt. 1927 in Elberfeld. [BHR1],,,
Ausch, Aron. [BHR1],,,,,,
Ausch, Juda, geb. in Prag, gest. 30. März 1806 das. [BHR1],,,,
Austerlitz, Michl, geb. 1736, gest. 1784 in Spálené Poříčí (Brennporitschen) bei Pilsen. [BHR1],,,,
Baad, P. [BHR1],,,,,,
Bach, Moses Aron, geb. Schawuot 1809 in Inowrocław (Inowrazlaw), gest. 27. Cheschwan 1879 in Breslau. [BHR1],,,,
Bachrach, Michael, geb. 27. Nov. 1730, gest. 16. Jan. 1801 in Prag. [BHR1],,,,
Back, Ignaz W., geb. in Szeged (Szegedin), Ungarn. [BHR1],,,,
Back, Samuel, Dr., geb. 2. Jan. 1841 in Hlohovec (Freistadtl a. d. Waag), Slowakei, gest. 29. Mai 1899 in Prag. [BHR1],,
Baeck, Abraham, geb. ca. 1785 in Pohořelice (Pohrlitz), Mähren, gest. 16. Jan. 1851 in Holíč (Holitsch), Slowakei. [BHR1],,
Baeck, Nathan, hebr. Menachem-Emanuel B., geb. 1810 in Břeclav (Lundenburg), Mähren, gest. nach 1869 in Wschowa (Fraustadt), Prov. Posen. [BHR1],
Baeck, Samuel, Dr., geb. 1. Apr. 1834 in Moravský Krumlov (Kromau), gest. 16. Mai 1912 in Leszno (Lissa), Prov. Posen. [BHR1],,
Bärmann, Jacob, geb. ca. 1792, Vorsänger in Sulzbach. [BHR1],,,,
Ball, Michael, geb. 1771, gest. 1845 in Swarzędz (Schwersenz), Prov. Posen. [BHR1],,,
Ball, Moses, gest. 1886 in Swarzędz (Schwersenz), Prov. Posen. [BHR1],,,,
Bamberger, Isaac, Dr., geb. 5. Nov. 1834 in Angenrod bei Alsfeld, Hessen-Darmstadt, gest. 26. Okt. 1896 in Königsberg. [BHR1],,
Bamberger, Jakob-Koppel, geb. 1785 in Neckarbischofsheim, gest. 23. März 1864 in Worms. [BHR1],,,,
Bamberger, Moses (hebr. Juda-Moses), geb. ca. 1750, gest. 14. Juli 1820 in Neckarbischofsheim, Kraichgau. [BHR1],,,
Bamberger, Moses Löb, geb. 12. April 1838 in Wiesenbronn, Unterfranken, gest. 30. Sept. 1899 in Bad Kissingen. [BHR1],,,
Bamberger, Salomon Salman, geb. 1. Mai 1835 in Wiesenbronn, Unterfranken, gest. 10. März 1918 in Würzburg. [BHR1],,,
Bamberger, Seligmann-Bär, geb. 6. Nov. 1807 in Wiesenbronn b. Kitzingen, Unterfranken, gest. 13. Okt. 1878 in Würzburg. [BHR1],,,
Bamberger, Simon-Simche, geb. 19. Juli 1832 in Wiesenbronn, Unterfranken, gest. 8./9. Dez. 1897 in Aschaffenburg. [BHR1],,,
Bandiner, Salomon. [BHR1],,,,,,
Barby, Meyer, geb. ca. 1725 in Barby a. d. Elbe bei Halberstadt, gest. 28. Juli 1789 in Preßburg. [BHR1],,,,
