Name,ID,GND
BAMBERGER - Moses Löb ,101,http://d-nb.info/gnd/12008337X
BAMBERGER - Salomon Salman ,102,http://d-nb.info/gnd/130556882
BAMBERGER - Seligmann-Bär ,103,http://d-nb.info/gnd/11884976X
BAMBERGER - Simon-Simche ,104,http://d-nb.info/gnd/1053047673
BANDINER - Salomon ,105,http://d-nb.info/gnd/105908872X
BARBY - Meyer ,106,http://d-nb.info/gnd/1060212528
Baruch ,107,NA
BARUH - Ruben ,108,NA
BASCHWITZ - Hirsch (hebr. Zwi-H.) ,109,http://d-nb.info/gnd/1098450728
BASZYNSKI - A[isik?] - fälschlich Isaak KASCHINSKI ,110,http://d-nb.info/gnd/1060065436
BAUMER - Wolf ,111,http://d-nb.info/gnd/1060076349
BAUMGARTEN - Abraham - auch A. PROSTITZ ,112,http://d-nb.info/gnd/1060114690
Beer b. Juspa ,113,NA
BEER - Isaac ,114,NA
BEER - Jakob ,115,http://d-nb.info/gnd/1075921694
BEER - Moses Salomon Hakohen ,116,http://d-nb.info/gnd/1060214679
BEIT - Lippmann ,117,NA
BEIT - Salomon ,118,http://d-nb.info/gnd/135540658
BENDIX - Dr ,119,http://d-nb.info/gnd/106022528X
BENESCH - Lazar ,120,http://d-nb.info/gnd/1060078783
BENET - Jesaja ,121,http://d-nb.info/gnd/1060274655
BENET - Mordechai - bürgerlich Markus BENEDIKT ,122,http://d-nb.info/gnd/136470777
BENET - Naftali - bürgerlich Naphtali BENEDIKT ,123,http://d-nb.info/gnd/140906134
BENSHEIM - Haium Löb ,124,NA
BENSHEIM - Simon-Simcha - nach 1810 S. BENSBACH ,125,NA
BENZIAN - Raphael ,126,http://d-nb.info/gnd/1060389231
BERENSTEIN - Samuel ,127,NA
BERGLER - Simon ,128,http://d-nb.info/gnd/1060215209
BERGMANN - Lazarus Wolf ,129,NA
BERLIN - Eisik ,130,NA
BERLIN - Hirsch ,131,http://d-nb.info/gnd/1060226472
BERLIN - Jesaja - auch J. PICK ,132,http://d-nb.info/gnd/123811961
BERLIN - Lase - auch L. HEILBUT ,133,http://d-nb.info/gnd/1060066599
BERLIN - Löb (hebr. Arjeh-L.) ,134,NA
BERLIN - Löb ,135,http://d-nb.info/gnd/1060076179
BERLIN - Moses ,136,http://d-nb.info/gnd/1060385589
BERLIN - Noah-Haium-Hirsch ,137,http://d-nb.info/gnd/130568627
BERLIN - Saul ,138,http://d-nb.info/gnd/136442099
BERLINER - Abraham - Dr. h. c. ,139,http://d-nb.info/gnd/11613612X
BERLINER - Tewele ,140,NA
BERLINGER - Aron ,141,NA
BERLINGER - Hirsch Jakob ,142,NA
BERLINGER - Jakob Bär ,143,NA
BERLINGER - Menachem-Menko ,144,NA
BERNAYS - Isaak ,145,http://d-nb.info/gnd/116137207
BERNSTEIN - M ,146,http://d-nb.info/gnd/1060211912
BEYERSDORF - Jakob ,147,NA
BIBERFELD - Philipp ,148,NA
BIEDERMANN - Samuel ,149,NA
BIENENFELD ,150,NA
BIERHEIM - Meier ,151,NA
BIESENTHAL - I ,152,NA
BING - Abraham ,153,http://d-nb.info/gnd/130051039
BLASCHKE - Löbel (hebr. Juda-L.) ,154,http://d-nb.info/gnd/1060271141
