fn,ln,geb,gest,BHR
Biesenthal,I. ,,,BHR1
Bing,Abraham,1752,1841,BHR1
Blaschke,Löbel (hebr. Juda-L.),1782,1861,BHR1
Blatt,Moses,,1830,BHR1
Bleichrode,Hirsch (hebr. Naftali-H.),,1839,BHR1
Bloch,Aron,1814,1863,BHR1
Bloch,Beer. ,,,BHR1
Bloch,Eleasar,,1833,BHR1
Bloch,Issaschar-Beer,1730,1798,BHR1
Bloch,Mendl. ,,,BHR1
Bloch,Moses,1804,1841,BHR1
Bloch,Moses Löb,1815,1909,BHR1
Bloch,S. M.,1841,1903,BHR1
Bloch,Salomon,1746,1833,BHR1
Blowitz,Isak. ,,,BHR1
Blücher,Ephraim Israel,1813,1882,BHR1
Blüh,Abraham,1835,1907,BHR1
Blum,Salomon Aron,,,BHR1
Blümlein,Moses,,,BHR1
Bock,Jaker Markus. ,,,BHR1
Bodenheimer,Löb,1807,1868,BHR1
Böheim,Abraham,1767,1845,BHR1
Böhm,Gabriel,,1817,BHR1
Bondi,Abraham,1721,1786,BHR1
Bondi,Elias,1777,1860,BHR1
Bondi,Elieser,,1794,BHR1
Bondi,Moses-Jona,1768,1806,BHR1
Bondi,Nehemia-Feitel,1762,1831,BHR1
Bondi,Philipp,1830,1907,BHR1
Bondi,Samuel,1794,1877,BHR1
Borchardt,Isaak I. ,,,BHR1
Boskowitz,Wolf,1740,1818,BHR1
Brady,Moses. ,,,BHR1
Brandeis,Moses Abraham,1765,1819,BHR1
Brandenburg,Sanwel,,1791,BHR1
Brann,Isaak,1823,1893,BHR1
Brann,Salomon,1814,1903,BHR1
Breslau,David,,1808,BHR1
Breslau,Leibusch (hebr. Arjeh-L.),1741,1809,BHR1
Breslauer,Michael,1710,1789,BHR1
Bretzfeld,Simon Naphtali,1794,1859,BHR1
Bretzfeld,Wolf,1749,1826,BHR1
Bretzfelder,Meyer,1750,1823,BHR1
Briesker,Markus,,,BHR1
Brill,Joel. ,,,BHR1
Brisch,David,,1835,BHR1
Brisch,Elieser,,1831-1831,BHR1
Brisch,David,,1835,BHR1
Brisch,Jacob,,1847,BHR1
Brod,Aron M. ,,,BHR1
Brod,Mordechai,,1815,BHR1
Brod,Samuel,1771,1852,BHR1
Broda,Abraham,,1790,BHR1
Broda,Hirsch (hebr. Zwi-H.),,1820,BHR1
Brodda,Saul. ,,,BHR1
Brohn,Heimann,,1860,BHR1
