fn,ln,geb,gest,BHR
Haas,Moses,1811,1887,BHR1
Haas,Salomon,,1847,BHR1
Hahn,Adolf,1844,,BHR1
Hahn,Abraham-Joseph,,1803,BHR1
Hahn,Löbesch,,1847,BHR1
Hahn,Salomon,1828,1898,BHR1
Hahn,Samuel,1836,1917,BHR1
Hainsfurth,Simon,,,BHR1
Hajum,Koppel,,1816,BHR1
Halberstädter,Juda-Löb,1777,1831,BHR1
Haller,Jacob,1812,1890,BHR1
Haller,Markus Meier,,,BHR1
Hamburg,Lase,1780,1821,BHR1
Hamburger,Hermann,1810,1870,BHR1
Hamburger,Jacob,1826,1911,BHR1
Hamburger,Jakob. ,,,BHR1
Hamburger,Wolf,1770,1850,BHR1
Handl,Hermann,1839,1925,BHR1
Handl,Isak Tonelis,1807,1887,BHR1
Hanover,David,1835,1901,BHR1
Hanover,Joseph,,1845,BHR1
Harburger,Jehuda,1809,,BHR1
Hartmann,Daniel. ,,,BHR1
Hartmann,Salomon. ,,,BHR1
Hatzfeld,Moses Löb,1735,1810,BHR1
Hauser,Pinkas. ,,,BHR1
Hechheimer,Moses,1755,1835,BHR1
Heckscher,Julius Wolf,1836,1883,BHR1
Heidegger,Isaias,1797,1867,BHR1
Heidenheim,Philipp,1814,1906,BHR1
Heilbronn,Isaak,1752,1822,BHR1
Heilbronn,Isak,1828,1909,BHR1
Heilbronn,Joel,1750,,BHR1
Heilbut,Arnold-Aaron,1816,1860,BHR1
Heilbuth,Ephraim Moses,,1789,BHR1
Heilbuth,Moses,,1783,BHR1
Heimerdinger,Marx. ,,,BHR1
Hein,David,,1886,BHR1
Heinemann,Carl,1802,1868,BHR1
Heins,Löwy. ,,,BHR1
Heldenstein,Isak. ,,,BHR1
Heldenstein,S. ,,,BHR1
Heller,Abraham,,1794,BHR1
Henlein,Juda Manasse,1812,,BHR1
Henschel,Arjeh-Löbusch,1806,1837,BHR1
Herrisch,David,1821,1895,BHR1
Herschel,Saul,1799,1832,BHR1
Herschell,Salomon,1761,1842,BHR1
Herxheimer,Salomon,1801,1884,BHR1
Herz,Isai,,1798,BHR1
Herz,Israel. ,,,BHR1
Herz,Max,1815,1904,BHR1
Herzberg,Mentheim. ,,,BHR1
Herzfeld,Salomo Dov-Berusch,1710,1784,BHR1
Herzfeld,Hartwig,1781,1846,BHR1
Herzfeld,Israel. ,,,BHR1
Herzfeld,Josua,1758,1846,BHR1
Herzfeld,Levi,1810,1884,BHR1
Herzfeld,Moses,,1796,BHR1
Herzfeld,Salomon,,1813,BHR1
Herzfeld,Samuel,,1857,BHR1
Herzthal,Salomon,,1841,BHR1
Hess,Isaak,1762,1827,BHR1
Hess,Josef-Moses,,1793,BHR1
Hess,Löb Mayer,1748,1826,BHR1
Hess,Meier,,1846,BHR1
Hess,Mendel,1807,1871,BHR1
Hessel,Ezechiel,1754,1824,BHR1
Heymann,Lewin,1747,1810,BHR1
Heymann,S. ,,,BHR1
Hilb,Maier,1807,1880,BHR1
Hildesheimer,Esriel,1820,1899,BHR1
Hildesheimer,Mordechai Moses Gumpel,,1823,BHR1
Hiller,Hirsch,1747,1817,BHR1
Hiller,Mayer Lämlein. ,,,BHR1
Hindeles,Abraham,1788,,BHR1
Hirsch,Abraham,,,BHR1
Hirsch,Heimann,1800,,BHR1
Hirsch,Jakob,,,BHR1
Hirsch,Joseph,,1850,BHR1
Hirsch,Josef Pinchas,,1829,BHR1
Hirsch,Lazarus,1815,,BHR1
Hirsch,Levi. ,,,BHR1
Hirsch,Mayer Samuel,1812,1860,BHR1
Hirsch,Moses,,1804,BHR1
Hirsch,Moses,1771,1825,BHR1
Hirsch,Pinkus. ,,,BHR1
Hirsch,Samson Raphael,1808,1888,BHR1
Hirsch,Samuel,1815,1889,BHR1
Hirschfeld,Aron,1820,1885,BHR1
Hirschfeld,Hirsch,1811,1884,BHR1
Hirschfeld,Jakob Heinrich,1819,1902,BHR1
Hirschfeld,Moritz,1823,1913,BHR1
Hirschler,Samuel. ,,,BHR1
Hirschstein,Hirsch. ,,,BHR1
Hochheimer,Heinrich,1818,1912,BHR1
Höchheimer,Isaak,1790,1861,BHR1
Höchstätter,Benjamin,1811,1888,BHR1
Hoff,Emil,,1897,BHR1
Hoffmann,Moses David,1824,1889,BHR1
Hofmann,Joseph,1806,1845,BHR1
Holdheim,Samuel,1806,1860,BHR1
Hollander,Jakob,1844,1880,BHR1
Hollander,Jesaja,1806,1872,BHR1
Holleschauer,Joseph David,1785,1860,BHR1
Holzmann,Nathan,,1884,BHR1
Hönig,Enoch. ,,,BHR1
Horochow,David-Tewle,,1792,BHR1
Horochow,Secharja-Mendel,,1809,BHR1
Horochow,Moses. ,,,BHR1
Horochow,Secharja-Mendel,,1867,BHR1
Horowitz,Jakob,1837,1907,BHR1
Horwitz,David Höschel,,1825,BHR1
Horwitz,Hirsch (hebr. Zwi-H.),1754,1817,BHR1
Horwitz,Jakob Halevi. ,,,BHR1
Horwitz,Lasar,1804,1868,BHR1
Horwitz,Pinchas,1731,1805,BHR1
Horwitz,Salomon-Schalom,,1866,BHR1
Horwitz,Zwi Josua,1735,1816,BHR1
Hübsch,Adolf,1830,1884,BHR1
Hulisch,Marcus. ,,,BHR1
Hurwitz,Jakob Meschullam Veit,,1820,BHR1
Hurwitz,Leiser,,1814,BHR1
Ickstädter,Samuel,1806,1863,BHR1
Idlinger,Samuel. ,,,BHR1
Illowy,Bernhard,1814,1871,BHR1
Illowy,Jakob,,1781,BHR1
Insbruck,Juda,,1794,BHR1
Isaacsohn,Josef,1811,1885,BHR1
Isaak b. Gerson,,,1816,BHR1
Isaak b. Josef. ,,,,BHR1
Isaak,Joachem-Chaim. ,,,BHR1
Iserls,Abraham Hirsch (hebr. Abraham Zwi-H.),,1833,BHR1
Israel Moses b. Arje-Löb,,,1814,BHR1
Israel,Benjamin,1819,1876,BHR1
Israeli,J. ,,,BHR1
Istl,Elia Zwi,,1788,BHR1
Jacob,Heinemann. ,,,BHR1
Jacobi,Hosea,1842,1925,BHR1
Jacobsohn,Jakob Hirsch,1810,1885,BHR1
Jacobsohn,Joseph,,1864,BHR1
Jacobson,Israel,1768,1828,BHR1
Jacoby,David,,1858,BHR1
Jadesohn,Samuel,,1858,BHR1
Jaffé,Beer Aron,1800,1851,BHR1
Jaffé,Esaias. ,,,BHR1
Jaffé,Heimann,1826,1883,BHR1
Jaffé,Hirsch,1818,1898,BHR1
Jaffé,Jakob. ,,,BHR1
Jaffé,Jakob Moses,1739,1823,BHR1
Jaffé,Mordechai Michael,1803,1868,BHR1
Jakob Uri-Schraga-Feiwel,,,1783,BHR1
Jakob,Moses,,1824,BHR1
Janow,Josef Hirsch(hebr. Zwi-H.),1733,1785,BHR1
Jaraczewski,Mayer,,,BHR1
Jaraczewsky,Adolph,1829,1911,BHR1
Jaroslaw,Josef. ,,,BHR1
Jaskulski,Baruch. ,,,BHR1
Jastrow,Markus,1829,1903,BHR1
Jechiel b. Pesach. ,,,,BHR1
Jeitteles,Benedikt,1762,1813,BHR1
Jellinek,Adolf,1821,1893,BHR1
Jerusalem,Nathan,,1793,BHR1
Joël,David,1815,1882,BHR1
Joël,Ephraim Fischel,1795,1851,BHR1
Joël,Hermann,,1881,BHR1
Joël,Heymann,1792,1845,BHR1
Joël,Julius,1828,,BHR1
Joël,Koppel. ,,,BHR1
Joel,Meyer,,,BHR1
Joelsohn,Jecheskel,1788,1885,BHR1
Jolowicz,Heymann,1816,1875,BHR1
Jonas,H.,,,BHR1
Jonas,Löw,1750,,BHR1
Jonathan b. Isaak Halevi,,,1824-1824,BHR1
Josaphat,Gerson,1808,1883,BHR1
Josaphat,Samuel,1768,1829,BHR1
Jóseffy,Wilhelm,1825,1910,BHR1
Joseph,Israel. ,,,BHR1
Joseph,Sender. ,,,BHR1
Josua,Behrend,1747,1802,BHR1
Josua,Levi (hebr. Arje-Leibusch b. Jakob-Josua),1715,1789,BHR1
Juda b. Simcha,,,1852,BHR1
Juda Löb Halevi,,,1819,BHR1
Juda-Löbele b. Zwi-Hirsch,,,1852,BHR1
Juda,Josua,1754,1806,BHR1
Juspa b. Daniel,,,1792,BHR1
Kafka,Angelus,1791,1870,BHR1
Kahn,Isaak,1710,1797,BHR1
Kahn,Israel-Isser,1749,1827,BHR1
Kahn,Joseph,1809,1875,BHR1
Kahn,Ludwig,1845,1914,BHR1
Kahn,Wolf David,1747,1815,BHR1
Kalb,Löb Moses. ,,,BHR1
Kali,Mordechai J.,1764,1831,BHR1
Kalir,Eleasar,1738,1801,BHR1
Kalisch,Eisig,,1783,BHR1
Kalisch,Isidor,1817,1886,BHR1
Kalisch,Wulff Marcus,,,BHR1
Kalischer,Abraham Moses,,1812,BHR1
Kalischer,Akiba,,1857,BHR1
Kalischer,Elias. ,,,BHR1
Kalischer,Hirsch (hebr. Zwi-H.),1795,1874,BHR1
Kalischer,Löb (hebr. Juda-L.),,1822,BHR1
Kalkar,Simeon,1754-1756,1812,BHR1
Kallmann,Löw,,1825,BHR1
Kallmann,Max Bär,1795,1886,BHR1
Kalonymos-Kalman b. Jesaja. ,,,,BHR1
Kann,Hirz (hebr. Naphtali-H.),1771,1836,BHR1
Kanstadt,Hirsch,1770,1823,BHR1
Kanstadt,Moses,1744,1811,BHR1
Karfunkel,Aron,1762,1816,BHR1
Karfunkel,L. ,,,BHR1
Kargau,Mendel,1772,1842,BHR1
Karpeles,Abraham,1830,1895,BHR1
Karpeles,Elias,1822,1889,BHR1
Karpeles,Jakob,1806,1843,BHR1
Karpeles,Lazar,1754,1832,BHR1
Karpeles,Lazar,,1845,BHR1
Karpeles,Mordechai,,,BHR1
Karpeles,Moses Hakohen gen. Präger,1765,1837,BHR1
Kassowitz,Löb (hebr. Juda-L.),,1782,BHR1
Kastel,Mendele. ,,,BHR1
Kastellan,Jakob,,1877,BHR1
Katz,Baruch Juda-Löb,,1824,BHR1
Katz,Isaak,,1844,BHR1
Katz,Jekutiel-Kaufmann,1743,1818,BHR1
Katz,Juda-Judel,,1788,BHR1
Katz,Löb (hebr. Arjeh-L.),,1821,BHR1
Katz,Moses. ,,,BHR1
Katz,Salomon,1770,,BHR1
Katzenellenbogen,Benjamin. ,,,BHR1
Katzenellenbogen,Hirsch (hebr. Naftali-H. ben Elieser),1749,1823,BHR1
Katzenellenbogen,Hirsch (hebr. Naftali-H. ben Moses),1715,1800,BHR1
Katzenellenbogen,Jakob,,1795,BHR1
Katzenellenbogen,Pinkas,1767,1845,BHR1
Katzenellenbogen,Pinkus Samuel,,1828,BHR1
Katzenellenbogen,Saul,1740,1810,BHR1
Katzenstein,Joseph. ,,,BHR1
Kauder,Abraham Beer. ,,,BHR1
Kauder,Moses Ephraim,,1849,BHR1
Kauder,Samuel Löw,1766,1838,BHR1
Kaufmann,J. ,,,BHR1
Kaufmann,Jakob,1783,1853,BHR1
Kaufmann,S. ,,,BHR1
Kayserling,Moritz Meyer,1829,1905,BHR1
Kellermann,H. ,,,BHR1
Kempner,Löb (hebr. Arje-L.),,1797-1797,BHR1
Kempner,Mordechai,1787,1831,BHR1
Kips,Löb,1756,1835,BHR1
Kirschbaum,E. ,,,BHR1
Kitsee,Aron. ,,,BHR1
Klausner,Hirsch (hebr. Zwi-H.),1802,1887,BHR1
Klausner,Wolf,1761,1861,BHR1
Kleeberg,Levi,1832,1906,BHR1
Klein,David,,,BHR1
Klein,Elchanan,,1885,BHR1
Klein,Jakob,,1810,BHR1
Klein,Joseph,1807,1873,BHR1
Klein,Salomon,1833,1900,BHR1
Kleineibst,Markus,,,BHR1
Kleiser,Jakob,,1797,BHR1
Klemperer,Guttmann,1815,1884,BHR1
Klemperer,Wilhelm,1839,1912,BHR1
Klineberger,Josef,1802,,BHR1
Kluger,Isaak-Eisig. ,,,BHR1
Knedl,Jakob. ,,,BHR1
Knöpfmacher,Josef,1815,1905,BHR1
Kobak,Josef Israel (auch Josef Isaak K.),1832,1913,BHR1
Kobler,Jakob. ,,,BHR1
Kochmann,Itzig. ,,,BHR1
Kohler,Kaufmann,1843,1926,BHR1
Kohlmeyer,Hermann,1813,,BHR1
Kohn,Abraham,1807,,BHR1
Kohn,Abraham,,1905,BHR1
Kohn,Albert,1811,1870,BHR1
Kohn,Aron,,,BHR1
Kohn,Daniel. ,,,BHR1
Kohn,David. ,,,BHR1
Kohn,Falk. ,,,BHR1
Kohn,Gabriel,1783,1864,BHR1
Kohn,Haium. ,,,BHR1
Kohn,Isak,1806,1855,BHR1
Kohn,Jakob,,,BHR1
Kohn,Jonas,,1898,BHR1
Kohn,Josef,,1859,BHR1
Kohn,Josef Samuel,,1850,BHR1
Kohn,Leopold. ,,,BHR1
Kohn,Löwy. ,,,BHR1
Kohn,Marx Michael,,1888,BHR1
Kohn,Mendel,1774,1829,BHR1
Kohn,Meschullam,1739,1819,BHR1
Kohn,Michael Lazar,1811,1893,BHR1
Kohn,Michael Löbl. ,,,BHR1
Kohn,Moses,,1788,BHR1
Kohn,Moses Löb,,1890,BHR1
Kohn,Salomon,,1824,BHR1
Kohn,Samuel,,,BHR1
Kohn,Samuel,,1811,BHR1
Kohn,Simon. ,,,BHR1
Kohner,I. H. ,,,BHR1
Kohner,Philipp,1765,1834,BHR1
Kolin,Samuel,1724,1806,BHR1
Kollek,Abraham. ,,,BHR1
Königshöfer,Moses Jonas,1844,1894,BHR1
Königsthal,Jakob. ,,,BHR1
Korczyner,Moses,,1830,BHR1
Kornblüh,Samuel. ,,,BHR1
Kornfeld,Aron,1795,1881,BHR1
Kornfeld,Moritz,1816,,BHR1
Kornitzer,J. L. ,,,BHR1
Korpulus,Aron,,1836,BHR1
Kösslin,Baruch,,1810,BHR1
Kožíček,Emanuel. ,,,BHR1
Krailsheimer,Gabriel,,1842,BHR1
Krakauer,Abraham Halevi. ,,,BHR1
Kralowsky,Abraham,,1843,BHR1
Krimke,Isaak Jakob,1824,1886,BHR1
Kristeller,Samuel,,1831,BHR1
Kron,Jakob,,1794,BHR1
Kron,Schemaja,,1825,BHR1
Kronach,Abraham,,5573-1812,BHR1
Kroner,Aron,1828,,BHR1
Kroner,Chaim. ,,,BHR1
Kroniker,Moses,,,BHR1
Kronstadt,Jakob-Benjamin,,1791,BHR1
Krotoschin,Herz. ,,,BHR1
Krüger,Markus Salomon,1811,,BHR1
Kuhn,Hirsch Benjamin. ,,,BHR1
Kulb,David,1767,1842,BHR1
Kulke,Simson,1809,1894,BHR1
Kunreuther,Bär (heb. Issaschar-B.),1797,,BHR1
Kunreuther,Hirsch (hebr. Naftali-H.),1771,1847,BHR1
Kunreuther,Ignatz,1811,1884,BHR1
Kunreuther,Jekutiel,1815,1865,BHR1
Kutna,Aron. ,,,BHR1
Kutner,Josua-Höschel,,1878,BHR1
Kuttenplan,Josef,1763,1813,BHR1
Kuttner,Nathan Hirsch,1816,1891,BHR1
Labaszynski,Joseph,,1894,BHR1
Labiszynski,Aron,,1850,BHR1
Lahnstein,Israel,,1796,BHR1
Lamberg,Ascher,1790,1876,BHR1
Lamberg,Max,1820,1890,BHR1
Lammfromm,Jakob M.,,1821,BHR1
Lämmle,Maier,,1804,BHR1
Landau,Ascher,,1843-1843,BHR1
Landau,David,,1818,BHR1
Landau,Ezechiel,1713,1793,BHR1
Landau,Israel-Jona,,1824,BHR1
Landau,Joseph-Samuel,1799,1836,BHR1
Landau,Menachem-Mendel,,1909,BHR1
Landau,Samuel,1751,1834,BHR1
Landau,Wolf,1811,1886,BHR1
Landauer,Gabriel Josua,1812,1890,BHR1
Landauer,Joseph,1804,1853,BHR1
Landauer,Meyer Hirsch,1808,1841,BHR1
Lande,Jakob,,1787,BHR1
Lando,Moses,1761,1828,BHR1
Landsberg,Elias,1800,1879,BHR1
Landsberg,Joseph,1750,1825,BHR1
Landsberg,Lewin,1799,1876,BHR1
Landsberg,Louis,1825,1904,BHR1
Landsberg,Max,1845,1927,BHR1
Landsberg,Max,1826,1901,BHR1
Landsberg,Mayer,1810,1870,BHR1
Landsberg,Moritz,1824,1882,BHR1
Landsberg,Moses Elkan,1776,1844,BHR1
Landsberger,Israel. ,,,BHR1
Landsberger,Julius,1819,1890,BHR1
Landsberger,Julius,1822,,BHR1
Landsberger,Mayer. ,,,BHR1
Landsberger,Michael,1804,1870,BHR1
Landsberger,Moses. ,,,BHR1
Landsberger,Moses. ,,,BHR1
Landsberger,Schmaja,1744,1824,BHR1
Lange,Isaak Michael,,1880,BHR1
Langenfelder,Jakob. ,,,BHR1
Laseron,Wolf,1784,1828,BHR1
Lasker,Jakob-Abraham,,1810,BHR1
Lasker,Raphael,1838,1904,BHR1
Latzar,Lasar,1822,1869,BHR1
Lazar,Jakob. ,,,BHR1
Lazarus,Aron Löb,,1874,BHR1
Lazarus,Leiser,1822,1879,BHR1
Lazarus,Marx,1739,1813,BHR1
Lebrecht,Meyer,,1894,BHR1
Lebrecht,Moses Meier,1810,1897,BHR1
Lehmann,David,1824,1852,BHR1
Lehmann,Josef B.,,,BHR1
Lehmann,Leopold,1800,1880,BHR1
Lehmann,Markus,1831,1890,BHR1
Leipen,Josef,,1800,BHR1
Lemberger,Jechiel,1727,1797,BHR1
Lemberger,Löb (hebr. Juda-Arjeh-L.),,1792,BHR1
Lemberger,Moses,1715,1788,BHR1
Lengsfelder,Abraham Meyer,,1820,BHR1
Lengsfelder,Salomon,1810,1894,BHR1
Lerner,Josef,,1836,BHR1
Leschinski,Mordechai Joseph Halevi,1808,1885,BHR1
Leschinski,Samuel. ,,,BHR1
Lesser,Hirsch (hebr. Zwi-H.),1814,1862,BHR1
Lesser,W. ,,,BHR1
Levi b. Salomon,,1793,1878,BHR1
Levi,Aron Moses,,1799,BHR1
Levi,Baruch,,,BHR1
Levi,Benedikt,1806,1899,BHR1
Levi,David,,1824,BHR1
Levi,Elias,,1814,BHR1
Levi,Gerson,1765,1839,BHR1
Levi,Maier,1767,1849,BHR1
Levi,Marcus Valentin,1740,1803,BHR1
Levi,Mordechai,,1796,BHR1
Levi,Moses,,,BHR1
Levi,S. ,,,BHR1
Levi,Salman,1748,1825,BHR1
Levi,Samuel,1751,1813,BHR1
Levi,Samuel,,1821,BHR1
Levi,Samuel Hirsch. ,,,BHR1
Levian,Mathias,1781,1862,BHR1
Levin,Abraham Moses. ,,,BHR1
Levin,Philipp,1811,,BHR1
Levit,Meir Löb,,,BHR1
Levit,Tobias,,1823,BHR1
Levita,Israel Bär,1753,1831,BHR1
Levitoch,Simon. ,,,BHR1
Levy,Feibusch,,1834,BHR1
Levy,Isaak,,1858,BHR1
Levy,Jakob,1819,1892,BHR1
Levy,Löbel. ,,,BHR1
Levy,Marx,,1804,BHR1
Levy,Moses,1804,1861,BHR1
Levy,Raphael Moses,,1858,BHR1
Levy,Simon,1778,1857,BHR1
Lewi,Levin b. Joseph. ,,,BHR1
Lewin,Adolf,1843,1910,BHR1
Lewin,Gabriel Hirsch. ,,,BHR1
Lewin,Hirschel,1721,1800,BHR1
Lewin,Marcus. ,,,BHR1
Lewin,Moritz,1843,1914,BHR1
Lewin,S. ,,,BHR1
Lewin,Salomon. ,,,BHR1
Lewy,Joachim Löbel,1779,1853,BHR1
Lewysohn,Abraham,1805,1860,BHR1
Lewysohn,Ludwig,1819,1901,BHR1
Liberles,Moses Elieser,1824,1872,BHR1
Lichtenstadt,Abraham Salomon. ,,,BHR1
Lichtenstadt,Simon,1796,1868,BHR1
Lichtenstadt,Wolf(hebr. Benjamin-Zeev b. Juda),1755,1827,BHR1
Lichtenstein,Ascher-Anschel,1808,1884,BHR1
Lichtenstein,Bär(hebr. Issaschar-B.),,,BHR1
Lichtenstein,Moses Michael,,1870,BHR1
Lichtschein,Ludwig,,1886,BHR1
Lieber,Nathan Wolf,1805,1880,BHR1
Lieberles,Josef,,1780,BHR1
Lilg,Mendel,,1790,BHR1
Lilienthal,Max,1815,1882,BHR1
Lindemann,Jakob,,1852,BHR1
Lindermann,Simon,1827,,BHR1
Lindmann,Liebmann,1808,1877,BHR1
Lipchowitz,Juda. ,,,BHR1
Lippmann,Abraham Jomtov,,1843,BHR1
Lippmann,Moses Elieser,,1810,BHR1
Lippmann,Gabriel,1807,1864,BHR1
Lipschitz,Hermann,1832,,BHR1
Lipschitz,Salman,1765,1839,BHR1
Lipschütz,Baruch-Isaak Dr.,1812,1877,BHR1
Lipschütz,Gedalja,1746,1826,BHR1
Lipschütz,Israel,,1782,BHR1
Lipschütz,Israel,1782,1860,BHR1
Lipschütz,Oskar,1847,1919,BHR1
Lipschütz,Salomon,,1808,BHR1
Lipschütz,Salomon,,1795,BHR1
Lissa,Israel-Isserl,,1829,BHR1
Lissa,Juda,,1796,BHR1
Lisser,Aron Hirsch,1768,1828,BHR1
Lisser,Magnus-Mannes Löbel,,1854,BHR1
Lissner,Meyer,1778,,BHR1
Littauer,Jakob,,1866-1866,BHR1
Löb,Heinrich,1805,1890,BHR1
Löb,Joachim. ,,,BHR1
Löb,Lazarus,1835,1892,BHR1
Lochi,Jakob,,,BHR1
Lonnerstadt,Leser,,1802,BHR1
Lonnerstadt,Scholem Abraham Kohen,,1781-1782,BHR1
Lorbeerbaum,Jakob,1740,1832,BHR1
Lösser,Heymann,,,BHR1
Loevi,Loser,1752,1826,BHR1
Löw,Ascher,1754,1837,BHR1
Löw,Eleasar,1758,1837,BHR1
Löw,Leopold,1811,1875,BHR1
Löw,Michael. ,,,BHR1
Löw,Wolf,1773,1851,BHR1
Löwe,Moritz,1815,,BHR1
Löwe,Simon. ,,,BHR1
Löwenberg,Eleasar,1804,1874,BHR1
Löwenfeld,Jakob. ,,,BHR1
Löwengard,Maier Hirsch,1813,1886,BHR1
Löwenmayer,Maier,1813,1895,BHR1
Löwenmayer,Maier,1827,1893,BHR1
Löwenstamm,Abraham Heymann,1775,1839,BHR1
Löwenstamm,Jakob-Moses,1747,1815,BHR1
Löwenstamm,Joachim,,1835,BHR1
Löwenstamm,Menachem-Mendel,,1868,BHR1
Löwenstein,Bernhard,1821,1889,BHR1
Löwenstein,Jakob-Koppel,1799,1869,BHR1
Löwenthal,J. G. ,,,BHR1
Löwenthal,Nehemias,1775,1853,BHR1
Löwi,Isaak,1803,1873,BHR1
Löwi,Isaias,1742,1831,BHR1
Löwit,David Bär,1770,1849,BHR1
Löwit,Jakob. ,,,BHR1
Löwy,Abraham,,1835,BHR1
Löwy,Albert,1816,1908,BHR1
Löwy,David,1805,1866,BHR1
Löwy,David,1821,1902,BHR1
Löwy,Elias. ,,,BHR1
Löwy,Jakob Ezechiel,1814,1864,BHR1
Löwy,Samuel. ,,,BHR1
Luntenschütz,Abraham Isaak,,1818,BHR1
Maass,Nathan,1720,1794,BHR1
Machol,Michael,1844,,BHR1
Mack,Benedikt,1760,1834,BHR1
Maggid,Itzig Leb,,1789,BHR1
Mahler,Jakob,1793,1867,BHR1
Mahram,Meir,,,BHR1
Maier,Joseph ,1797,1873,BHR1
Mainz,Moses Löb,1805,1886,BHR1
Mainzer,Maier,1798,1861,BHR1
Malbim,Meyer Löbusch,1809,1879,BHR1
Man,Menachem,,1847,BHR1
Mandl,Bernhard,1819,1895,BHR1
Mandl,Moses. ,,,BHR1
Manheimer,Juda,,1832,BHR1
Mannheimer,Isaak,,1788,BHR1
Mannheimer,Isak Aronsohn,1750,1838,BHR1
Marburg,Moses-Masus,1765,1809,BHR1
Marcus,Abraham. ,,,BHR1
Marcus,Joachem. ,,,BHR1
Marcus,Samson,,1800,BHR1
Margulies,Löb (hebr. Juda-L.),1747,1811,BHR1
Margulies,Mordechai. ,,,BHR1
Markheim,Meyer Joseph,,,BHR1
Markscheinfeld,Moses,,1804,BHR1
Marktbreiter,Simon Hirsch,,1846,BHR1
Markuse,Markus. ,,,BHR1
Martschak,Schija. ,,,BHR1
Marx,Jakob Aron,1767,1837,BHR1
Marx,David,1808,1864,BHR1
Marx,Samuel,1772,1827,BHR1
Marx,Samuel,1817,1887,BHR1
Mautner,Rafael Gabriel. ,,,BHR1
May,Gerson Seckel,,1795,BHR1
Mayer,Abraham,1767,1837,BHR1
Mayer,Aron,1736,1815,BHR1
Mayer,Philipp Joseph. ,,,BHR1
Mayer,Mayer Jacob,1790,,BHR1
Mayer,Moritz,1821,1867,BHR1
Mayer,Samuel,1757,1821,BHR1
Mayer,Samuel,1807,1875,BHR1
Mayländer,Moses Abraham,1760,1838,BHR1
Mehler,Ephraim Gumprich,1740,1808,BHR1
Meier,Hirsch,,1836,BHR1
Meir b. Jakob. ,,,,BHR1
Meisel,Moses. ,,,BHR1
Meisel,Wolf Aloys,1815,1867,BHR1
Meister,Heinemann-Joachim,1747,1825,BHR1
Meklenburg,Jakob Hirsch(hebr. Jakob Zwi-H.),1785,1865,BHR1
Meldola,Abraham,1754,1826,BHR1
Melis,Löb,1739,1819,BHR1
Melis,Markus,1811,,BHR1
Menachem,Aron. ,,,BHR1
Mendel,Abraham. ,,,BHR1
Mendel,Itzig,,,BHR1
Mendelssohn,Joachim,1791,1884,BHR1
Mendelssohn,Moses,,1839,BHR1
Mendelssohn,Samuel,1794,1866,BHR1
Mengburg,Joseph,1758,1824,BHR1
Mengeburg,Callmann,1753,1833,BHR1
Merz,Aaron,1795,1864,BHR1
Merzbach,Jakob,,1791,BHR1
Merzbacher,Leo,1809,1856,BHR1
Messing,Ahron Jonathan,1840,1916,BHR1
Messing,Joseph,1812,1880,BHR1
Messing,Mayer,1843,1930,BHR1
Metz,Anschel (hebr. Ascher),,,BHR1
Metz,Eisik,1772,1852,BHR1
Metz,Gedalia,1757,1846,BHR1
Metz,Gottlieb,1778,1842,BHR1
Metz,Jekutiel-Kofmann,,1785,BHR1
Metz,Joseph,,1796,BHR1
Meyer,Israel,1845,1898,BHR1
Meyer,Samuel,1819,1882,BHR1
Meyer,Simon,1780,,BHR1
Michael Abraham Gabriel. ,,,,BHR1
Michael b. Zwi,,,1849,BHR1
Michaelis,Samuel,1838,1904,BHR1
Michel,Seligmann,1749,1829,BHR1
Michelson,Abraham-Aberl,,1851,BHR1
Mielziner,Benjamin Leib,1797,1849,BHR1
Mielziner,Moses,1828,1903,BHR1
Mieses,Abraham Isaac,,,BHR1
Mirels,Aron. ,,,BHR1
Mirels,Hirsch,,1814,BHR1
Mirels,Israel Meschullam Salman,1723,1794,BHR1
Mitzker,Moses. ,,,BHR1
Moch,Abraham,1746,1830,BHR1
Moravec,Lazar. ,,,BHR1
Mordechai b. Joseph. ,,,,BHR1
Mordechai-Josef b. Jakob Halevi,,,1804,BHR1
Mordechai Zwi. ,,,,BHR1
Morgenstern,Eisik,,,BHR1
Morgenstern,Moses,1771,,BHR1
Moses b. Mordechai,,,1815,BHR1
Moses Gabriel. ,,,,BHR1
Moses,Jisroel Baruch,,1899,BHR1
Moses,Juda Lewin. ,,,BHR1
Moses,Salomon,,1810,BHR1
Mugdan,David,,1828,BHR1
Mühlrad,Wolf,1806,1862,BHR1
Mühsam,Samuel,1837,1907,BHR1
Müller,Abraham. ,,,BHR1
Müller,Joël,1827,1895,BHR1
Müller,Leopold,,,BHR1
Müller,Moses Löb,,1853,BHR1
Müller,Nathan Aron,,1872,BHR1
Münchenberg,J. ,,,BHR1
Munk,Elias,1818,1899,BHR1
Munk,Jakob,,1855,BHR1
Munk,Joachim,,1835,BHR1
Munk,Meyer,1735,1807,BHR1
Munk,Michel Levin (hebr. Jechiel Arjeh-Löb),,1853,BHR1
Munk,Pinchas Löb,,1831-1834,BHR1
Munk,Sanwil Meyer,,1840,BHR1
Münzer,Juda,,,BHR1
Naftali b. Chaim,,,1832,BHR1
Naftali-Hirsch b. Gabriel-Jakob. ,,,,BHR1
Nagel,Samuel. ,,,BHR1
Nagelstock,Markus. ,,,BHR1
Nager,Abraham,1831,1886,BHR1
Nasch,Isaias. ,,,BHR1
Nascher,Jonathan. ,,,BHR1
